fpr,tpr
0.0,0.0
1.560378859987205e-05,0.0
6.24151543994882e-05,0.0
6.24151543994882e-05,0.00017943656917279743
9.362273159923229e-05,0.00017943656917279743
9.362273159923229e-05,0.00035887313834559486
0.0001248303087989764,0.0010766194150367845
0.00017164167459859253,0.0010766194150367845
0.00018724546319846458,0.0010766194150367845
0.00020284925179833664,0.001256055984209582
0.0002184530403982087,0.0016149291225551767
0.0004056985035966733,0.0032298582451103534
0.0005149250237957776,0.003947604521801543
0.0005617363895953938,0.004127041090974341
0.0005773401781952658,0.004127041090974341
0.0006085477553950099,0.004127041090974341
0.0007645856413937304,0.005024223936838328
0.0007801894299936025,0.005024223936838328
0.0007801894299936025,0.005203660506011125
0.0008113970071933466,0.00556253364435672
0.0008270007957932186,0.00556253364435672
0.0008270007957932186,0.005741970213529518
0.000983038681791939,0.0077157724744302885
0.000983038681791939,0.007895209043603087
0.0009986424703918111,0.008074645612775884
0.0010454538361914273,0.008074645612775884
0.0010610576247912992,0.008433518751121478
0.0010610576247912992,0.008612955320294276
0.0010766614133911714,0.008612955320294276
0.0010766614133911714,0.008792391889467073
0.0010922652019910435,0.008792391889467073
0.0011390765677906595,0.009151265027812668
0.0011546803563905316,0.009330701596985465
0.0012014917221901478,0.009330701596985465
0.001263906876589636,0.009330701596985465
0.0013731333967887402,0.010048447873676656
0.0013887371853886124,0.010048447873676656
0.0014043409739884845,0.010227884442849453
0.0014043409739884845,0.01040732101202225
0.0014043409739884845,0.010766194150367845
0.0014199447625883564,0.010766194150367845
0.0015291712827874607,0.011483940427059035
0.001560378859987205,0.01184281356540463
0.001638397802986565,0.012201686703750225
0.0016696053801863093,0.012201686703750225
0.0016696053801863093,0.012381123272923022
0.0017164167459859253,0.012381123272923022
0.0017632281117855415,0.013637179257132604
0.0017632281117855415,0.013996052395478199
0.0017944356889852855,0.013996052395478199
0.0017944356889852855,0.014175488964650996
0.0018100394775851577,0.014354925533823793
0.0018256432661850298,0.014354925533823793
0.001950473574984006,0.014893235241342185
0.0020440963065832384,0.01525210837968778
0.0020440963065832384,0.015610981518033374
0.0020753038837829827,0.015790418087206173
0.002574625118978888,0.017584783778934146
0.002808681947976969,0.01866140319397093
0.002824285736576841,0.01866140319397093
0.0028554933137765848,0.01866140319397093
0.002871097102376457,0.01866140319397093
0.0029179084681760733,0.01884083976314373
0.0036668903209699315,0.021352951731562892
0.0036668903209699315,0.02153238830073569
0.003698097898169676,0.02153238830073569
0.003698097898169676,0.021891261439081284
0.0037137016867695477,0.02207069800825408
0.0038697395727682682,0.02278844428494527
0.003916550938567884,0.02296788085411807
0.004337853230764429,0.02440337340750045
0.004400268385163918,0.024582809976673246
0.004400268385163918,0.02494168311501884
0.00441587217376379,0.025121119684191638
0.004431475962363662,0.025121119684191638
0.004431475962363662,0.025300556253364435
0.004478287328163278,0.02565942939171003
0.004509494905363023,0.02637717566840122
0.004540702482562766,0.02637717566840122
0.004556306271162638,0.02637717566840122
0.004556306271162638,0.026556612237574016
0.005430118432755473,0.03211914588193074
0.005445722221355345,0.03211914588193074
