fpr,tpr
0.0,0.0
0.0,3.895597974289053e-05
6.389980510559443e-06,0.00011686793922867161
1.2779961021118886e-05,0.00011686793922867161
1.2779961021118886e-05,0.00015582391897156213
1.916994153167833e-05,0.00019477989871445267
2.555992204223777e-05,0.00031164783794312425
5.111984408447554e-05,0.00031164783794312425
5.111984408447554e-05,0.00038955979742890534
6.389980510559442e-05,0.00038955979742890534
6.389980510559442e-05,0.00042851577717179586
8.306974663727276e-05,0.00042851577717179586
0.002038403782868462,0.006973120373977406
0.0020511837438895813,0.007206856252434749
0.06319051726892233,0.14164394234515
0.09794562126585514,0.2098169068952084
0.09796479120738681,0.2098169068952084
0.10629093581264577,0.22251655629139072
0.10630371577366689,0.22255551227113363
0.10631010575417744,0.2227113361901052
0.10631649573468802,0.2227113361901052
0.16129588804754144,0.2956369302687963
0.2174893766574012,0.3869107908063888
0.2174893766574012,0.3869497467861317
0.23267836033100098,0.40603817686014804
0.4672353749321065,0.6842228282041294
0.4674909741525288,0.6844176081028438
0.46956132783795007,0.6858589793533307
0.5413527588740854,0.748733930658356
0.5771685996357712,0.7909622126996494
0.5771813795967923,0.7909622126996494
0.5885747148471198,0.7986365407089988
0.5975462474839451,0.8025710946630308
0.5975526374644557,0.8025710946630308
0.6012588261605802,0.8044799376704325
0.6012716061216014,0.8044799376704325
0.6012971660436436,0.8045188936501753
0.6013035560241541,0.8045188936501753
0.6103581584076169,0.8049474094273471
0.6103645483881274,0.8049474094273471
0.6115594747436021,0.8051811453058044
0.6115722547046232,0.8052201012855473
0.6115850346656443,0.8052201012855473
0.6115914246461548,0.8052201012855473
0.6136362184095339,0.8067393844955201
0.7734815808811784,0.9151149201402415
0.7735646506278155,0.9151538761199844
0.784146458353302,0.9154265679781847
0.7841528483338126,0.9154265679781847
0.7841720182753442,0.9154655239579276
0.8386785520304163,0.9422282820412934
0.8424997603757308,0.9423061940007791
0.8425061503562414,0.9423061940007791
0.842525320297773,0.9423841059602649
0.8428831592063645,0.9424230619400078
0.8432473880954663,0.9427736657576938
0.8432537780759769,0.9427736657576938
0.8433368478226141,0.9428126217374367
0.8454455413910987,0.9440202571094664
0.8487747212371002,0.9455005843396962
0.8490431004185437,0.9458511881573821
0.8493689894245823,0.9460849240358395
0.8507556151953737,0.9463576158940398
0.8507747851369053,0.9463965718737827
0.8566791271286622,0.9483833268406701
0.856698297070194,0.9483833268406701
0.864283203936228,0.9486949746786132
0.8645515831176714,0.9488897545773276
0.8646410428448194,0.9488897545773276
0.8965973353781271,0.9728866380989482
0.8995175564714528,0.972964550058434
0.8996197961596217,0.972964550058434
0.9068276941755328,0.9746786131671211
0.9141378318796127,0.977249707830152
0.9165404645515831,0.9777561355668095
0.9183935588996454,0.97830151928321
0.9186811080226205,0.9785352551616673
0.9186938879836416,0.9785352551616673
0.9187705677497684,0.9785352551616673
0.933614492475798,0.9847682119205298
0.9343046103709384,0.9848850798597585
0.9371864915812007,0.9859758472925594
0.9404006517780121,0.987183482664589
0.9660436435668871,0.9905726529022205
0.9844020575737245,0.9984028048305414
0.9862104220582127,0.9987144526684846
0.9918591648295473,0.9989871445266848
0.9924598229975399,0.9990650564861706
0.9929582414773634,0.9990650564861706
0.9984983545800186,0.9998441760810285
1.0,1.0
