model,fpr,tpr
Naive Majority Class,0.0,0.0
Naive Majority Class,1.0,1.0
Logistic Regression,0.0,0.0
Logistic Regression,6.389980510559443e-06,0.0
Logistic Regression,1.916994153167833e-05,0.0
Logistic Regression,1.916994153167833e-05,3.895597974289053e-05
Logistic Regression,5.750982459503498e-05,3.895597974289053e-05
Logistic Regression,5.750982459503498e-05,0.00015582391897156213
Logistic Regression,7.667976612671331e-05,0.00015582391897156213
Logistic Regression,7.667976612671331e-05,0.00019477989871445267
Logistic Regression,0.00011501964919006996,0.00019477989871445267
Logistic Regression,0.00011501964919006996,0.00027269185820023373
Logistic Regression,0.00012779961021118884,0.00027269185820023373
Logistic Regression,0.00012779961021118884,0.0003506038176860148
Logistic Regression,0.00014696955174286718,0.0003506038176860148
Logistic Regression,0.00014696955174286718,0.00038955979742890534
Logistic Regression,0.00015974951276398607,0.00038955979742890534
Logistic Regression,0.00017252947378510497,0.00038955979742890534
Logistic Regression,0.0001789194542956644,0.00038955979742890534
Logistic Regression,0.0001789194542956644,0.00042851577717179586
Logistic Regression,0.00019169941531678328,0.00042851577717179586
Logistic Regression,0.00019169941531678328,0.00046747175691468643
Logistic Regression,0.00019808939582734273,0.00046747175691468643
Logistic Regression,0.00020447937633790217,0.0005064277366575769
Logistic Regression,0.00020447937633790217,0.0005453837164004675
Logistic Regression,0.00021725933735902106,0.0005453837164004675
Logistic Regression,0.00021725933735902106,0.000584339696143358
Logistic Regression,0.00023003929838013993,0.000584339696143358
Logistic Regression,0.00023003929838013993,0.0006622516556291391
Logistic Regression,0.00023642927889069938,0.0006622516556291391
Logistic Regression,0.0002492092399118183,0.0006622516556291391
Logistic Regression,0.0002555992204223777,0.0007012076353720296
Logistic Regression,0.0002683791814434966,0.0007012076353720296
Logistic Regression,0.00029393910348573436,0.0007012076353720296
Logistic Regression,0.00029393910348573436,0.0007401636151149201
Logistic Regression,0.0003131090450174127,0.0007401636151149201
Logistic Regression,0.0003131090450174127,0.0007791195948578107
Logistic Regression,0.0003258890060385316,0.0007791195948578107
Logistic Regression,0.0003258890060385316,0.0008570315543435917
Logistic Regression,0.00033227898654909104,0.0008570315543435917
Logistic Regression,0.00033227898654909104,0.0009349435138293729
Logistic Regression,0.00034505894757020993,0.0009349435138293729
Logistic Regression,0.00034505894757020993,0.0009738994935722633
Logistic Regression,0.0003514489280807693,0.0009738994935722633
Logistic Regression,0.0003770088501230071,0.0009738994935722633
Logistic Regression,0.000389788811144126,0.0009738994935722633
Logistic Regression,0.000389788811144126,0.0010128554733151538
Logistic Regression,0.0004153487331863638,0.001090767432800935
Logistic Regression,0.0004281286942074827,0.001090767432800935
Logistic Regression,0.0004281286942074827,0.0011297234125438255
Logistic Regression,0.0004409086552286016,0.001168679392286716
Logistic Regression,0.0004409086552286016,0.0012076353720296066
Logistic Regression,0.0004536886162497204,0.0012076353720296066
Logistic Regression,0.0004536886162497204,0.001246591351772497
Logistic Regression,0.0004664685772708393,0.0012855473315153876
Logistic Regression,0.0004664685772708393,0.0013634592910011687
Logistic Regression,0.00047285855778139875,0.0013634592910011687
Logistic Regression,0.0004984184798236366,0.0014024152707440593
Logistic Regression,0.0005048084603341959,0.0014024152707440593
Logistic Regression,0.0005048084603341959,0.0014803272302298402
Logistic Regression,0.0005111984408447554,0.0014803272302298402
Logistic Regression,0.0005239784018658743,0.0014803272302298402
Logistic Regression,0.0005303683823764337,0.0014803272302298402
Logistic Regression,0.0005431483433975526,0.0015582391897156214
Logistic Regression,0.000549538323908112,0.0015582391897156214
Logistic Regression,0.0005623182849292309,0.0015582391897156214
Logistic Regression,0.0005687082654397904,0.0015582391897156214
Logistic Regression,0.0005687082654397904,0.001597195169458512
Logistic Regression,0.0005814882264609093,0.001597195169458512
Logistic Regression,0.0005878782069714687,0.001597195169458512
Logistic Regression,0.0005878782069714687,0.0016361511492014025
Logistic Regression,0.0006006581679925876,0.0016361511492014025
Logistic Regression,0.0006134381290137065,0.0016751071289442929
Logistic Regression,0.0006389980510559443,0.0016751071289442929
Logistic Regression,0.0006517780120770632,0.0016751071289442929
Logistic Regression,0.0006581679925876226,0.0016751071289442929
Logistic Regression,0.000677337934119301,0.0016751071289442929
Logistic Regression,0.0007028978561615387,0.0016751071289442929
Logistic Regression,0.0007028978561615387,0.0017140631086871834
Logistic Regression,0.0007348477587143359,0.0017140631086871834
Logistic Regression,0.0007412377392248953,0.0017140631086871834
Logistic Regression,0.0007604076807565737,0.0017140631086871834
Logistic Regression,0.0007731876417776926,0.0017140631086871834
Logistic Regression,0.0007859676027988115,0.0017140631086871834
Logistic Regression,0.0007923575833093709,0.0017140631086871834
Logistic Regression,0.0007987475638199303,0.001753019088430074
Logistic Regression,0.0008179175053516087,0.001753019088430074
Logistic Regression,0.0008179175053516087,0.0017919750681729646
Logistic Regression,0.0008306974663727276,0.0017919750681729646
Logistic Regression,0.0008562573884149654,0.0017919750681729646
Logistic Regression,0.0008626473689255248,0.0017919750681729646
Logistic Regression,0.0008754273299466437,0.0017919750681729646
Logistic Regression,0.0009009872519888815,0.0018309310479158551
Logistic Regression,0.0009457171155627975,0.0018309310479158551
