City,delay_risk_probability
Toronto,0.03433610449316282
Toronto,0.03267580451035412
Toronto,0.0315879807291185
Toronto,0.030690008545555703
Toronto,0.030173418395080698
Toronto,0.029007800326157573
Toronto,0.028915228178877928
Toronto,0.028489675228776545
Toronto,0.028580125834385406
Toronto,0.02827514503327766
Toronto,0.027741337624952345
Toronto,0.027265133967587674
Toronto,0.026886107824291017
Toronto,0.026667008759979405
Toronto,0.025327749010572775
Toronto,0.02486789152869051
Toronto,0.024539212815854694
Toronto,0.02402160694242117
Toronto,0.02385670596409384
Toronto,0.0230178762550175
Toronto,0.022220878259082366
Toronto,0.021520690114706587
Toronto,0.020838624020411034
Toronto,0.020278316160356136
NYC,0.11465959092392741
NYC,0.1417606307406838
NYC,0.14992045136080945
NYC,0.1541379080787072
NYC,0.1541379080787072
NYC,0.1541379080787072
NYC,0.1541379080787072
NYC,0.1541379080787072
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10869099618146694
NYC,0.10072439139097167
NYC,0.09864003252551778
NYC,0.09654064547863217
NYC,0.09663560249526726
NYC,0.09663560249526726
