Model,AUC-ROC,PR-AUC,Precision,Recall,F1-Score,Accuracy
Logistic Regression,0.7171538134550781,0.1909785672594335,0.8749885810984462,0.9200114843525696,0.8821565359335537,0.9200114843525696
GBT Classifier,0.6969138110939856,0.1847185504342056,0.8883578445645014,0.920183749641114,0.8827146915200773,0.920183749641114
Random Forest,0.6872411434356474,0.1715654802777725,0.8466852953548465,0.92015503875969,0.88189263706722,0.92015503875969
Naive Majority Class,0.5,0.07984496124031,0.8466852953548465,0.92015503875969,0.88189263706722,0.92015503875969
