model,auc_roc,pr_auc,precision,recall,f1_score
Naive Majority Class,0.5,0.0800028710881424,0.0,0.0,0.0
Logistic Regression,0.708800749002012,0.1859673010191022,0.3354591836734694,0.04719181769244572,0.08274343243668397
Random Forest,0.6510806662364711,0.14398280748216896,0.0,0.0,0.0
GBT Classifier,0.6647382720932322,0.1556290779121095,0.4,0.010766194150367845,0.020968023763760266
