Feature_Index,Importance
6,0.19248469684321662
61,0.132778641793112
42,0.09046320254933886
99,0.08485811593702589
12,0.0820298518204899
101,0.06882148987054314
4,0.05806073524930113
14,0.05314788502899931
13,0.05264212627629252
9,0.052206877100279395
93,0.024436174796034726
17,0.020668677780740802
58,0.019490514981832685
78,0.0136661203181877
31,0.010755453323410128
50,0.010016741485366604
102,0.0058099292725406265
103,0.005275905384515448
5,0.0039963616166258245
18,0.00336814879118998
0,0.0031251090274416454
8,0.002226516982957606
56,0.0019533965148986125
10,0.0018429733994755149
75,0.0015894364754316611
73,0.0010531507749956196
104,0.0010129774786083485
105,0.0008867901976232065
86,0.0003517100441797543
44,0.00027603191627020515
91,0.0002758983027145717
3,0.00018962725564421353
7,0.0001381539777633457
11,0.00010057743295257518
19,0.0
83,0.0
82,0.0
81,0.0
80,0.0
79,0.0
28,0.0
77,0.0
84,0.0
20,0.0
74,0.0
21,0.0
72,0.0
71,0.0
70,0.0
76,0.0
88,0.0
85,0.0
87,0.0
68,0.0
89,0.0
90,0.0
92,0.0
16,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
15,0.0
100,0.0
2,0.0
69,0.0
67,0.0
29,0.0
38,0.0
46,0.0
45,0.0
43,0.0
26,0.0
41,0.0
40,0.0
39,0.0
37,0.0
66,0.0
36,0.0
35,0.0
34,0.0
33,0.0
32,0.0
27,0.0
30,0.0
47,0.0
48,0.0
49,0.0
25,0.0
65,0.0
64,0.0
63,0.0
62,0.0
22,0.0
60,0.0
59,0.0
23,0.0
57,0.0
24,0.0
55,0.0
54,0.0
1,0.0
52,0.0
51,0.0
53,0.0
