model,auc_roc,pr_auc,precision,recall,f1_score
Naive Majority Class,0.5,0.14091620234402877,0.0,0.0,0.0
Logistic Regression,0.663541506551541,0.2196337974363564,0.22727272727272727,0.00019477989871445267,0.0003892262182780632
Random Forest,0.6002022977717725,0.1930148120772784,0.0,0.0,0.0
GBT Classifier,0.6694422405815713,0.23141135582808553,0.39416511483550587,0.02473704713673549,0.0465525457277959
