Feature,Importance
incident_category_idx,0.3554331220340908
location_area_idx,0.26514106770438495
hour,0.17725504309028756
unified_call_source_idx,0.06693290403529446
day_of_week,0.04908564931758348
calls_past_60min,0.041845119051534374
calls_past_30min,0.015063720047936225
month,0.009678013580564512
season_idx,0.009222044898453569
year,0.008696867779354777
unified_alarm_level,0.0016464484605151553
