city,median_survival_min,hazard_peak_time_min,hazard_peak_magnitude,concordance_index,S(5m),S(10m),S(15m),S(30m),S(45m),S(60m),S(T_MAX),hazard_peak_ratio_Toronto_over_NYC
Toronto,4.923638870322047,7.0,0.007758772838301786,0.5669852990519045,0.48024169600414707,0.027815060085787543,0.014100239652259526,0.012148186504051662,0.012042925723459136,0.011991976710209757,0.011991976710209757,
NYC,10.35901236472991,6.0,0.0032571204073135523,0.6595683532200382,0.8430378214255766,0.5057030087586628,0.4622822706733763,0.45705532182702696,0.45705532182702696,0.45705532182702696,0.45705532182702696,
Difference (NYC − Toronto),5.435373494407863,-1.0,-0.004501652430988234,0.09258305416813362,0.3627961254214295,0.47788794867287526,0.44818203102111676,0.4449071353229753,0.4450123961035678,0.4450633451168172,0.4450633451168172,2.382095798755307
