covariate,hazard_ratio,hr_lower_95,hr_upper_95,p,coef,se(coef)
time_bin_Night,0.7864339715293068,0.7789418346654462,0.7939981704038193,0.0,-0.24024651229113925,0.004883962333840397
incident_category_Other / Assistance,0.7658605594848866,0.7591084206089489,0.772672757475125,0.0,-0.26675516303832925,0.004518196338062263
incident_category_False Alarm / No Action,0.5920754828754327,0.5872159495743683,0.5969752314736484,0.0,-0.524121147369035,0.004204920429659375
incident_category_Hazardous / Utility,0.7151161700364025,0.6990556076978636,0.7315457182750469,4.6439881597063855e-184,-0.335310273910468,0.011589352133708115
calls_past_30min,0.887043700607913,0.8787160489337085,0.8954502740026109,6.424729329571634e-137,-0.11986103000803636,0.004812558958898981
incident_category_Rescue / Entrapment,0.8158088985279154,0.7975919656322807,0.8344419046269216,7.375889836679074e-70,-0.2035751444259843,0.011522144956018294
calls_past_60min,1.0495324957819303,1.0427989271334637,1.0563095444777617,4.692101024201904e-49,0.04834482290728389,0.003283962722722679
day_of_week_1,1.0514506987904004,1.0402080694659002,1.0628148391066323,5.842879620160164e-20,0.05017082850924551,0.005484829648563252
season_spring,1.0300650978376658,1.0213510168969053,1.038853526583819,8.2696116725944e-12,0.029622002028537327,0.0043346331060704684
time_bin_Evening,1.0240119048408036,1.016027717662353,1.0320588336588696,2.826240261562296e-09,0.023728152370834053,0.003993707274560917
unified_alarm_level_2,1.2391146102719042,1.1533449977896262,1.3312625626606789,4.679939065789308e-09,0.21439710060614803,0.036597961560081195
day_of_week_2,1.0244775504002808,1.013575322731873,1.035497044704397,9.415923873953125e-06,0.024182775719082974,0.005458657524015837
season_fall,1.017657278292009,1.0091987960490891,1.026186654319319,3.953079073433317e-05,0.017503199649357336,0.004258473577410057
day_of_week_5,0.9801208660205419,0.9697278427423772,0.9906252761519035,0.00022278288875241426,-0.02007938224834601,0.005439099484088606
incident_category_Fire – Non-Structural,1.0272145670535249,1.0111725402066953,1.043511097078716,0.000827447062254339,0.026850835174583733,0.008030885723937035
time_bin_Morning,1.0132968660901611,1.0048845091540475,1.021779646789977,0.001899377022625774,0.013209238691432998,0.00425345573396317
incident_category_Fire – Structural,0.9525096636375557,0.922895784955748,0.9830737924178867,0.0025334019816991146,-0.04865502648150714,0.016114547849844715
day_of_week_4,0.9843890186300192,0.9739463376979204,0.9949436662904978,0.003833411118112421,-0.0157341159215874,0.005441403916554726
day_of_week_3,0.9846051609400246,0.974147362517501,0.9951752273335495,0.004403752169747197,-0.01551457001016088,0.005448120801497996
season_winter,1.0103114550549783,1.001738426350919,1.018957853033119,0.018302163803510626,0.010258654658061047,0.004347905210749442
day_of_week_7,1.0021401661316542,0.9915599726855039,1.0128332528938333,0.6929997035711015,0.0021378792384250094,0.005415265459050035
