Feature_Index,Importance
13,0.48636006995747494
15,0.16775140590574256
17,0.07753313150884539
7,0.06860329701525032
9,0.0611696062170073
5,0.05822052371953504
4,0.04603070423880227
16,0.015564741337676163
20,0.015325920496146579
19,0.001346975953963277
21,0.0007653347280528023
11,0.00039636738643156834
0,0.00024925812153364353
8,0.00024085254495638447
12,0.00022887510568508917
22,7.605367890196826e-05
2,7.017426862006408e-05
3,3.14863944782326e-05
1,1.7093701513902954e-05
14,1.7021245773773676e-05
6,1.1064736088492552e-06
10,0.0
18,0.0
23,0.0
24,0.0
