city,threshold_min,survival_prob_S(t),prob_arrived_by_t
Toronto,8,0.11200962096707312,0.8879903790329269
Toronto,10,0.0595172928589202,0.9404827071410798
Toronto,30,0.034817948079953566,0.9651820519200465
Toronto,60,0.034547012800309654,0.9654529871996903
NYC,8,0.390625146124088,0.6093748538759121
NYC,10,0.329884285309035,0.670115714690965
NYC,30,0.29033414487404496,0.709665855125955
NYC,60,0.29033414487404496,0.709665855125955
