bucket,count,max_effect,median_effect,top5_mean,city
Incident/Severity,7,4.631176396690323,3.000624320952205,3.2575368388907493,NYC
Temporal,10,1.151358593016761,1.0307031766141208,1.0636580458777438,NYC
Demand,2,1.0009705109196347,1.0007345158251355,1.0007345158251355,NYC
Incident/Severity,7,1.6889738368213956,1.2391146102719042,1.371592125410004,Toronto
Temporal,11,1.2715625674910644,1.0202823291173981,1.0803135638720431,Toronto
Demand,2,1.1273401742379492,1.0884363350099397,1.0884363350099397,Toronto
