model,fpr,tpr
Naive Majority Class,0.0,0.0
Naive Majority Class,1.0,1.0
Logistic Regression,0.0,0.0
Logistic Regression,1.560378859987205e-05,0.0
Logistic Regression,4.6811365799616146e-05,0.0
Logistic Regression,4.6811365799616146e-05,0.00017943656917279743
Logistic Regression,6.24151543994882e-05,0.00017943656917279743
Logistic Regression,6.24151543994882e-05,0.00035887313834559486
Logistic Regression,7.801894299936025e-05,0.00035887313834559486
Logistic Regression,7.801894299936025e-05,0.0010766194150367845
Logistic Regression,9.362273159923229e-05,0.0014354925533823794
Logistic Regression,0.00010922652019910435,0.0016149291225551767
Logistic Regression,0.0001248303087989764,0.0016149291225551767
Logistic Regression,0.0001248303087989764,0.0017943656917279742
Logistic Regression,0.00020284925179833664,0.0017943656917279742
Logistic Regression,0.0002184530403982087,0.0017943656917279742
Logistic Regression,0.0002184530403982087,0.0019738022609007717
Logistic Regression,0.00023405682899808072,0.0019738022609007717
Logistic Regression,0.0002496606175979528,0.002332675399246366
Logistic Regression,0.0002496606175979528,0.002512111968419164
Logistic Regression,0.0002652644061978248,0.002512111968419164
Logistic Regression,0.0002652644061978248,0.002870985106764759
Logistic Regression,0.0002808681947976969,0.002870985106764759
Logistic Regression,0.0002808681947976969,0.003050421675937556
Logistic Regression,0.000312075771997441,0.003050421675937556
Logistic Regression,0.00032767956059731303,0.003050421675937556
Logistic Regression,0.00032767956059731303,0.003409294814283151
Logistic Regression,0.00034328334919718506,0.003409294814283151
Logistic Regression,0.00035888713779705714,0.0035887313834559484
Logistic Regression,0.00037449092639692917,0.003947604521801543
Logistic Regression,0.00039009471499680125,0.003947604521801543
Logistic Regression,0.00039009471499680125,0.004306477660147138
Logistic Regression,0.0004525098693962894,0.004665350798492732
Logistic Regression,0.00048371744659603353,0.004665350798492732
Logistic Regression,0.00048371744659603353,0.0048447873676655305
Logistic Regression,0.0004993212351959056,0.005024223936838328
Logistic Regression,0.0004993212351959056,0.005383097075183922
Logistic Regression,0.0006709629097944981,0.005741970213529518
Logistic Regression,0.0006865666983943701,0.005741970213529518
Logistic Regression,0.0006865666983943701,0.006100843351875112
Logistic Regression,0.0007021704869942422,0.0062802799210479095
Logistic Regression,0.0007177742755941143,0.0062802799210479095
Logistic Regression,0.0007333780641939863,0.006639153059393504
Logistic Regression,0.0007333780641939863,0.0069980261977390995
Logistic Regression,0.0007489818527938583,0.0069980261977390995
Logistic Regression,0.0007645856413937304,0.007356899336084694
Logistic Regression,0.0008113970071933466,0.007356899336084694
Logistic Regression,0.0008113970071933466,0.007536335905257491
Logistic Regression,0.0008738121615928348,0.007536335905257491
Logistic Regression,0.0008894159501927068,0.0077157724744302885
Logistic Regression,0.0009050197387925788,0.0077157724744302885
Logistic Regression,0.0009362273159923229,0.008074645612775884
Logistic Regression,0.0009674348931920671,0.008074645612775884
Logistic Regression,0.0009674348931920671,0.008433518751121478
Logistic Regression,0.000983038681791939,0.008612955320294276
Logistic Regression,0.000983038681791939,0.008792391889467073
Logistic Regression,0.0009986424703918111,0.008792391889467073
Logistic Regression,0.0010142462589916832,0.00897182845863987
Logistic Regression,0.0010298500475915552,0.00897182845863987
Logistic Regression,0.0011234727791907876,0.009689574735331061
Logistic Regression,0.001248303087989764,0.010048447873676656
Logistic Regression,0.001263906876589636,0.01040732101202225
Logistic Regression,0.001263906876589636,0.010586757581195047
Logistic Regression,0.0013263220309891242,0.01112506728871344
Logistic Regression,0.0013575296081888683,0.01112506728871344
Logistic Regression,0.0013731333967887402,0.011304503857886236
Logistic Regression,0.0013887371853886124,0.011304503857886236
Logistic Regression,0.0014355485511882286,0.011663376996231833
Logistic Regression,0.0014667561283879726,0.01184281356540463
Logistic Regression,0.0014823599169878447,0.01184281356540463
Logistic Regression,0.0014823599169878447,0.012201686703750225
Logistic Regression,0.0017944356889852855,0.013996052395478199
Logistic Regression,0.0018100394775851577,0.013996052395478199
Logistic Regression,0.0018568508433847739,0.014175488964650996
Logistic Regression,0.0020440963065832384,0.015072671810514983
Logistic Regression,0.0020597000951831103,0.015431544948860577
Logistic Regression,0.0020909076723828546,0.015431544948860577
Logistic Regression,0.0020909076723828546,0.015610981518033374
Logistic Regression,0.0021533228267823427,0.015790418087206173
Logistic Regression,0.002184530403982087,0.015790418087206173
Logistic Regression,0.002184530403982087,0.01596985465637897
Logistic Regression,0.002184530403982087,0.016508164363897362
Logistic Regression,0.002231341769781703,0.016867037502242957
Logistic Regression,0.002231341769781703,0.017046474071415754
Logistic Regression,0.0022937569241811913,0.017046474071415754
Logistic Regression,0.0022937569241811913,0.01722591064058855
Logistic Regression,0.002324964501380935,0.01722591064058855
Logistic Regression,0.0023405682899808075,0.01722591064058855
Logistic Regression,0.0023405682899808075,0.01740534720976135
Logistic Regression,0.0023561720785806794,0.01740534720976135
Logistic Regression,0.0023873796557804237,0.017584783778934146
Logistic Regression,0.0024185872329801675,0.01794365691727974
Logistic Regression,0.002449794810179912,0.01794365691727974
Logistic Regression,0.0024653985987797837,0.01794365691727974
Logistic Regression,0.0024653985987797837,0.018302530055625335
Logistic Regression,0.002559021330379016,0.018302530055625335
Logistic Regression,0.00259022890757876,0.019020276332316528
