model_name,fpr,tpr
Naive Majority Class,0.0,0.0
Naive Majority Class,1.0,1.0
Logistic Regression,0.0,0.0
Logistic Regression,0.0017712741535931286,0.00373769319833086
Logistic Regression,0.002232956442002601,0.00452253106326104
Logistic Regression,0.0024554847472193554,0.004895523315901126
Logistic Regression,0.0026498772897075545,0.005151955489591185
Logistic Regression,0.0027918350016561734,0.00547832371065126
Logistic Regression,0.0029120514424054544,0.005657049165041301
Logistic Regression,0.003024594493319675,0.005804691931711335
Logistic Regression,0.003096212798446906,0.005975646714171374
Logistic Regression,0.0031691100018799807,0.006123289480841408
Logistic Regression,0.003234333815477995,0.006255390903651439
Logistic Regression,0.003303394323993539,0.006340868294881458
Logistic Regression,0.003377570425732457,0.006403033670321473
Logistic Regression,0.003445352035942158,0.0065351350931315035
Logistic Regression,0.003495229069870051,0.006628383156291525
Logistic Regression,0.0035515005953271612,0.006744943235241552
Logistic Regression,0.003605214324172585,0.006830420626471571
Logistic Regression,0.0036448601716537305,0.006931439361561594
Logistic Regression,0.003687063815746563,0.0070091460808616125
Logistic Regression,0.003735661951368613,0.007071311456301626
Logistic Regression,0.0037842600869906627,0.007110164815951636
Logistic Regression,0.003823905934471809,0.007187871535251653
Logistic Regression,0.0038635517819529544,0.007234495566831664
Logistic Regression,0.003917265510798378,0.007281119598411674
Logistic Regression,0.003942843476915246,0.007351055645781691
Logistic Regression,0.003982489324396392,0.007413221021221705
Logistic Regression,0.004023414070183381,0.00747538639666172
Logistic Regression,0.00406050212105284,0.007529781100171732
Logistic Regression,0.004084801188863865,0.0076152584914017515
Logistic Regression,0.004125725934650854,0.007661882522981762
Logistic Regression,0.0041538616973794094,0.007669653194911764
Logistic Regression,0.004203738731307302,0.007700735882631771
Logistic Regression,0.004242105680482605,0.007724047898421777
Logistic Regression,0.00426640474829363,0.007809525289651796
Logistic Regression,0.004295819409328028,0.00787169066509181
Logistic Regression,0.004327791866974114,0.007933856040531824
Logistic Regression,0.004359764324620199,0.007988250744041837
Logistic Regression,0.004372553307678633,0.008019333431761845
Logistic Regression,0.004399410172101345,0.008065957463341855
Logistic Regression,0.004422430341606527,0.008120352166851868
Logistic Regression,0.0044492872060292385,0.008190288214221884
Logistic Regression,0.004465912884005202,0.008244682917731897
Logistic Regression,0.004492769748427914,0.008283536277381905
Logistic Regression,0.004534973392520747,0.008337930980891918
Logistic Regression,0.004556714663720085,0.008376784340541926
Logistic Regression,0.004586129324754483,0.00839232568440193
Logistic Regression,0.004628332968847316,0.008454491059841945
Logistic Regression,0.004650074240046654,0.00847780307563195
Logistic Regression,0.004669257714634305,0.008493344419491953
Logistic Regression,0.004692277884139487,0.008516656435281959
Logistic Regression,0.004716576951950512,0.00857105113879197
Logistic Regression,0.0047344815282323194,0.008617675170371982
Logistic Regression,0.004760059494349188,0.008633216514231986
Logistic Regression,0.004788195257077743,0.008679840545811996
Logistic Regression,0.004799705341830334,0.008718693905462005
Logistic Regression,0.004820167714723828,0.008765317937042017
Logistic Regression,0.004838072291005636,0.008773088608972017
Logistic Regression,0.0048495823757582265,0.00878862995283202
Logistic Regression,0.004870044748651722,0.008811941968622027
Logistic Regression,0.004896901613074433,0.008858566000202038
Logistic Regression,0.004913527291050397,0.008897419359852046
Logistic Regression,0.004927595172414675,0.008920731375642052
Logistic Regression,0.00494805754530817,0.008928502047572054
Logistic Regression,0.004971077714813351,0.008959584735292061
Logistic Regression,0.004994097884318533,0.008982896751082065
Logistic Regression,0.005022233647047088,0.009006208766872071
Logistic Regression,0.005040138223328896,0.009037291454592079
Logistic Regression,0.005059321697916547,0.009114998173892096
Logistic Regression,0.005079784070810041,0.009146080861612104
Logistic Regression,0.005095130850480163,0.009177163549332111
Logistic Regression,0.005111756528456126,0.009192704893192113
Logistic Regression,0.005125824409820404,0.009200475565122115
Logistic Regression,0.005143728986102212,0.009239328924772125
Logistic Regression,0.00516547025730155,0.009285952956352136
Logistic Regression,0.0051859326301950445,0.009301494300212139
Logistic Regression,0.005203837206476852,0.009332576987932146
Logistic Regression,0.005219183986146974,0.009363659675652154
Logistic Regression,0.0052319729692054074,0.009394742363372162
Logistic Regression,0.005256272037016433,0.009418054379162166
Logistic Regression,0.0052690610200748665,0.00943359572302217
Logistic Regression,0.005284407799744988,0.009487990426532183
Logistic Regression,0.005295917884497578,0.009511302442322187
Logistic Regression,0.0053151013590852295,0.009511302442322187
Logistic Regression,0.005325332545531977,0.00952684378618219
Logistic Regression,0.005341958223507941,0.009550155801972196
Logistic Regression,0.005363699494707279,0.0095656971458322
Logistic Regression,0.005376488477765714,0.00960455050548221
Logistic Regression,0.0053982297489650515,0.009635633193202216
Logistic Regression,0.005416134325246859,0.009666715880922223
Logistic Regression,0.005436596698140354,0.009674486552852225
Logistic Regression,0.005455780172728005,0.00969002789671223
Logistic Regression,0.0054864737320682476,0.009721110584432235
Logistic Regression,0.005500541613432525,0.009721110584432235
Logistic Regression,0.005517167291408489,0.00978327595987225
Logistic Regression,0.00552484068124355,0.009798817303732254
Logistic Regression,0.005538908562607827,0.009822129319522258
Logistic Regression,0.005555534240583792,0.009822129319522258
Logistic Regression,0.00558111220670066,0.00982989999145226
