Feature_Index,Importance
417,0.1488021762472257
82,0.11390475292987512
125,0.08324371555647953
5,0.06274047610503368
246,0.060788812961963215
0,0.04532447848029033
444,0.03794133850027477
117,0.03328811796666739
517,0.0324066171265188
366,0.030806463936237954
10,0.025827233905909828
482,0.024461871954116424
6,0.023592837898923545
224,0.02037748195723154
145,0.017966558078943533
181,0.0176419997585188
163,0.017628036291346606
216,0.014386881254927278
310,0.014101913499611662
403,0.011420393246466298
71,0.011221799698934946
1,0.010714722963481258
495,0.010469660842923056
20,0.010118185227409336
21,0.00982968104412093
328,0.008836451132004621
296,0.008337852298446307
248,0.0068594059210967725
2,0.006488196501504316
354,0.0064315742479637015
409,0.005576018765629227
196,0.00473996317078489
451,0.004063424010348979
252,0.0036959058625416086
33,0.0035015295260002258
176,0.003299976916655987
19,0.0031649095984816605
306,0.002653442989583845
387,0.0024803370343503923
457,0.0023932107655758096
326,0.0023834473215288117
228,0.0023129775164622227
439,0.0021939932486465218
130,0.002190366839824099
3,0.0021297989370837414
343,0.002069178896558818
118,0.0016669082898886803
129,0.0015353414142678216
371,0.0013289831428785225
85,0.0011708091039034252
177,0.0011362321309455073
234,0.001123380004548662
459,0.001088779322793196
23,0.0010323977077928163
480,0.0009779430989168888
113,0.0008820587395568096
73,0.0008679722331391617
137,0.0008168330251371262
420,0.0008087744736564093
488,0.0007745882793676089
184,0.0007346353972662629
276,0.0006910490628645151
222,0.0006351123859595997
62,0.0006332499956831797
132,0.0005660921903859417
465,0.0005595349257418298
165,0.0005437115914982488
185,0.0005052144086222804
190,0.00044698497509223085
94,0.00041135580461129943
466,0.0003446631518411536
232,0.0003189047993944279
4,0.0002966892538187898
428,0.0002896056112632145
443,0.00026865741567829685
515,0.0002563471468168442
72,0.00025406860547318833
346,0.0002393230801296186
74,0.0002074362141838967
334,0.0002052041857539662
266,0.00020495679763062573
96,0.00019243128142445559
149,0.00017748765209417392
197,0.00016311795695315745
332,0.0001506941089300135
485,0.00014366655498166151
207,0.00014028974460687945
261,0.00011701834323466489
243,7.169229079157992e-05
27,5.7863671007400344e-05
286,5.3807349937013294e-05
170,3.962155623323548e-05
353,3.1697499830305e-05
236,2.8645088969440506e-05
361,0.0
360,0.0
362,0.0
359,0.0
305,0.0
363,0.0
304,0.0
379,0.0
303,0.0
307,0.0
364,0.0
365,0.0
302,0.0
291,0.0
367,0.0
301,0.0
378,0.0
292,0.0
293,0.0
294,0.0
377,0.0
376,0.0
375,0.0
295,0.0
374,0.0
373,0.0
368,0.0
297,0.0
298,0.0
372,0.0
299,0.0
370,0.0
369,0.0
300,0.0
308,0.0
358,0.0
356,0.0
309,0.0
341,0.0
321,0.0
340,0.0
339,0.0
322,0.0
323,0.0
324,0.0
338,0.0
325,0.0
337,0.0
336,0.0
335,0.0
327,0.0
381,0.0
329,0.0
330,0.0
333,0.0
331,0.0
320,0.0
319,0.0
357,0.0
342,0.0
311,0.0
355,0.0
312,0.0
313,0.0
352,0.0
314,0.0
351,0.0
350,0.0
349,0.0
315,0.0
348,0.0
347,0.0
316,0.0
317,0.0
345,0.0
344,0.0
318,0.0
380,0.0
404,0.0
382,0.0
469,0.0
483,0.0
481,0.0
479,0.0
478,0.0
477,0.0
476,0.0
475,0.0
474,0.0
473,0.0
472,0.0
471,0.0
470,0.0
468,0.0
383,0.0
467,0.0
464,0.0
463,0.0
462,0.0
461,0.0
460,0.0
458,0.0
456,0.0
455,0.0
454,0.0
453,0.0
452,0.0
484,0.0
486,0.0
487,0.0
489,0.0
516,0.0
514,0.0
513,0.0
512,0.0
511,0.0
510,0.0
509,0.0
508,0.0
507,0.0
506,0.0
505,0.0
504,0.0
503,0.0
502,0.0
501,0.0
500,0.0
499,0.0
498,0.0
497,0.0
496,0.0
494,0.0
493,0.0
492,0.0
491,0.0
490,0.0
450,0.0
449,0.0
448,0.0
413,0.0
411,0.0
410,0.0
408,0.0
407,0.0
406,0.0
405,0.0
289,0.0
402,0.0
401,0.0
400,0.0
399,0.0
398,0.0
397,0.0
396,0.0
395,0.0
394,0.0
393,0.0
392,0.0
391,0.0
390,0.0
389,0.0
388,0.0
386,0.0
385,0.0
384,0.0
412,0.0
414,0.0
447,0.0
415,0.0
446,0.0
445,0.0
442,0.0
441,0.0
440,0.0
438,0.0
437,0.0
436,0.0
435,0.0
434,0.0
433,0.0
432,0.0
431,0.0
430,0.0
429,0.0
427,0.0
426,0.0
425,0.0
424,0.0
423,0.0
422,0.0
421,0.0
419,0.0
418,0.0
416,0.0
290,0.0
259,0.0
288,0.0
106,0.0
104,0.0
103,0.0
102,0.0
101,0.0
100,0.0
99,0.0
98,0.0
97,0.0
95,0.0
93,0.0
92,0.0
91,0.0
90,0.0
89,0.0
88,0.0
87,0.0
86,0.0
84,0.0
83,0.0
81,0.0
80,0.0
79,0.0
78,0.0
77,0.0
76,0.0
105,0.0
107,0.0
143,0.0
108,0.0
141,0.0
140,0.0
139,0.0
138,0.0
136,0.0
135,0.0
134,0.0
133,0.0
131,0.0
128,0.0
127,0.0
126,0.0
124,0.0
123,0.0
122,0.0
121,0.0
120,0.0
119,0.0
116,0.0
115,0.0
114,0.0
112,0.0
111,0.0
110,0.0
109,0.0
75,0.0
70,0.0
69,0.0
68,0.0
38,0.0
37,0.0
36,0.0
35,0.0
34,0.0
32,0.0
31,0.0
30,0.0
29,0.0
28,0.0
26,0.0
25,0.0
24,0.0
22,0.0
18,0.0
17,0.0
16,0.0
15,0.0
14,0.0
13,0.0
12,0.0
11,0.0
9,0.0
8,0.0
7,0.0
39,0.0
40,0.0
41,0.0
55,0.0
67,0.0
66,0.0
65,0.0
64,0.0
63,0.0
61,0.0
60,0.0
59,0.0
58,0.0
57,0.0
56,0.0
54,0.0
42,0.0
53,0.0
52,0.0
51,0.0
50,0.0
49,0.0
48,0.0
47,0.0
46,0.0
45,0.0
44,0.0
43,0.0
142,0.0
144,0.0
287,0.0
254,0.0
251,0.0
250,0.0
249,0.0
247,0.0
245,0.0
244,0.0
242,0.0
241,0.0
240,0.0
239,0.0
238,0.0
237,0.0
