city,feature,coef,hr,ci_lower,ci_upper,p_value,censor_time,n,concordance_index,interpretation
Toronto,calls_past_30min,-0.1198610300080363,0.887043700607913,0.8787160489337085,0.8954502740026109,6.424729329571634e-137,60,361710.0,0.5669852990519045,HR < 1 → slower arrival (higher delay risk)
Toronto,calls_past_60min,0.0483448229072838,1.0495324957819303,1.0427989271334637,1.0563095444777617,4.692101024201904e-49,60,361710.0,0.5669852990519045,HR > 1 → faster arrival (lower delay risk)
NYC,calls_past_60min,0.0009700402783958,1.0009705109196347,1.000822587594037,1.0011184561085582,7.137082370522847e-38,60,1283156.0,0.6595683532200382,HR > 1 → faster arrival (lower delay risk)
NYC,calls_past_30min,0.0004983965104594,1.0004985207306365,1.0002344338341536,1.000762677352662,0.0002153561443054,60,1283156.0,0.6595683532200382,HR > 1 → faster arrival (lower delay risk)
