Model_Name,Accuracy,F1_Score,AUC_ROC,Algorithm,City
NYC Delay Classifier,0.84,0.82,0.88,XGBoost,NYC
Toronto Delay Classifier,0.81,0.79,0.85,XGBoost,Toronto
