feature,mean_abs_shap,rank
incident_category,0.469147753020074,1
location_area,0.3489150611620953,2
hour,0.28104106846165405,3
unified_call_source,0.08293589109460751,4
calls_past_60min,0.07372115334177601,5
calls_past_30min,0.060838801120654096,6
month,0.047624619401833275,7
day_of_week,0.040556752524770874,8
year,0.033357167682872446,9
season,0.013331548817292406,10
unified_alarm_level,0.0012455467976650767,11
