feature,mean_abs_shap,rank
location_area,0.6935195320423256,1
hour,0.3744331859499131,2
unified_call_source,0.23175355657048538,3
incident_category,0.21670421362714415,4
calls_past_30min,0.14415195725050867,5
month,0.1106284249197036,6
day_of_week,0.0928128357130477,7
year,0.059271998228899385,8
season,0.058824356733196345,9
calls_past_60min,0.04114912115230867,10
unified_alarm_level,0.009360636101676974,11
