category,feature,toronto_rank,nyc_rank,toronto_mean_abs_shap,nyc_mean_abs_shap,rank_diff_tor_minus_nyc,abs_importance_diff,importance_gap_pct_tor_vs_nyc,in_toronto_topN,in_nyc_topN
common,location_area,1,2,0.6935195320423256,0.3489150611620953,-1,0.34460447088023033,98.76457288626239,True,True
common,incident_category,4,1,0.2167042136271441,0.469147753020074,3,0.2524435393929299,-53.80896257730529,True,True
common,unified_call_source,3,4,0.2317535565704853,0.0829358910946075,-1,0.1488176654758778,179.43698646915976,True,True
common,hour,2,3,0.3744331859499131,0.281041068461654,-1,0.0933921174882591,33.23077216691341,True,True
common,calls_past_30min,5,6,0.1441519572505086,0.060838801120654,-1,0.08331315612985461,136.94082267535453,True,True
common,month,6,7,0.1106284249197036,0.0476246194018332,-1,0.0630038055178704,132.29250960170427,True,True
common,day_of_week,7,8,0.0928128357130477,0.0405567525247708,-1,0.0522560831882769,128.84681007901807,True,True
common,season,9,10,0.0588243567331963,0.0133315488172924,-1,0.0454928079159039,341.24170512339845,True,True
common,calls_past_60min,10,5,0.0411491211523086,0.073721153341776,5,0.032572032189467394,-44.182748466554614,True,True
common,year,8,9,0.0592719982288993,0.0333571676828724,-1,0.025914830546026904,77.68893934734082,True,True
