_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
46,14076406,235,Cibola Ave,235 Cibola Ave,former Toronto,30086097,4173463,3,335,1995,10,Spadina-Fort York,Fire Station, , , ,"{""coordinates"": [[-79.35907450522743, 43.62540074601082]], ""type"": ""MultiPoint""}"
47,8168331,325,Chaplin Cres,325 Chaplin Cres,former Toronto,8166572,4271268,33,135,2014,8,Eglinton-Lawrence,Fire Station, , , ,"{""coordinates"": [[-79.41879411577635, 43.703124459941236]], ""type"": ""MultiPoint""}"
48,487657,2545,Bayview Ave,2545 Bayview Ave,North York,30107421,4299669,54,122,1959,15,Don Valley West,Fire Station, , , ,"{""coordinates"": [[-79.38372595896112, 43.74864461500859]], ""type"": ""MultiPoint""}"
49,9487007,2733,Brimley Rd,2733 Brimley Rd,Scarborough,30108578,4308527,84,242,1975,23,Scarborough North,Fire Station, , , ,"{""coordinates"": [[-79.27725628028892, 43.80691964458345]], ""type"": ""MultiPoint""}"
50,12491266,1109,Leslie St,1109 Leslie St,North York,30112872,4324089,26,125,1985,16,Don Valley East,Fire Station, , , ,"{""coordinates"": [[-79.3491121871106, 43.72113579469095]], ""type"": ""MultiPoint""}"
51,998837,130,Eighth St,130 Eighth St,Etobicoke,30118412,4352480,2,435,1920,3,Etobicoke-Lakeshore,Fire Station, , , ,"{""coordinates"": [[-79.50696999339536, 43.60111851707651]], ""type"": ""MultiPoint""}"
52,3890947,231,McRae Dr,231 McRae Dr,East York,3890945,4400109,25,321,1946,15,Don Valley West,Fire Station, ,Fire Prevention Office (N), ,"{""coordinates"": [[-79.3646982931217, 43.70871401084624]], ""type"": ""MultiPoint""}"
53,8292449,59,Curlew Dr,59 Curlew Dr,North York,8292440,4422335,75,233,1995,16,Don Valley East,Fire Station,None,Fire Prevention Office,FP Special Event Plans and Projects / Quality Assurance / Legal,"{""coordinates"": [[-79.3143827967515, 43.74391817294652]], ""type"": ""MultiPoint""}"
54,30013624,4100,Keele St,4100 Keele St,North York,30127036,4425852,61,141,2011,7,Humber River-Black Creek,Fire Station, ,Fire Prevention Office (N), ,"{""coordinates"": [[-79.49272359460772, 43.76682151043532]], ""type"": ""MultiPoint""}"
55,6738444,3,Lunness Rd,3 Lunness Rd,Etobicoke,6738419,4495916,40,434,1958,3,Etobicoke-Lakeshore,Fire Station, , , ,"{""coordinates"": [[-79.54398894064038, 43.6025703358919]], ""type"": ""MultiPoint""}"
