city,feature,feature_value,shap_value
Toronto,hour,0.0,0.3591365110686136
Toronto,hour,12.0,0.04769443257110449
Toronto,hour,16.0,0.0383265810761964
Toronto,hour,4.0,0.5447625860207863
Toronto,hour,9.0,0.03524457983219086
Toronto,hour,0.0,0.42714223478559304
Toronto,hour,1.0,0.5522501799166585
Toronto,hour,8.0,-0.12666912605016925
Toronto,hour,9.0,0.03604591980696835
Toronto,hour,17.0,-0.00939965968334695
Toronto,hour,3.0,0.5795278247717797
Toronto,hour,23.0,-0.25793305465141975
Toronto,hour,23.0,-0.18061732763961852
Toronto,hour,10.0,0.012558772059851784
Toronto,hour,12.0,-0.002034432988505425
Toronto,hour,18.0,-0.1621990427810202
Toronto,hour,6.0,-0.08869133639547538
Toronto,hour,8.0,-0.08757419751311424
Toronto,hour,11.0,0.034919435620961635
Toronto,hour,13.0,0.03977501545010502
Toronto,hour,14.0,0.06894343599857469
Toronto,hour,16.0,0.039814416776735764
Toronto,hour,16.0,0.08240631488912598
Toronto,hour,18.0,-0.18531895658535028
Toronto,hour,23.0,-0.2480001783292945
Toronto,hour,1.0,0.5111945729349111
Toronto,hour,11.0,0.07012314273037742
Toronto,hour,11.0,0.06067519231083325
Toronto,hour,13.0,0.05414632718690129
Toronto,hour,19.0,-0.26210447774038587
Toronto,hour,20.0,-0.33254772382339703
Toronto,hour,6.0,-0.012877144797180861
Toronto,hour,16.0,0.03730037710914019
Toronto,hour,17.0,0.054242205235815355
Toronto,hour,11.0,0.01757770961377616
Toronto,hour,15.0,0.030710017227590092
Toronto,hour,10.0,0.0022335898246185074
Toronto,hour,22.0,-0.2929121574416103
Toronto,hour,9.0,-0.05352033098298691
Toronto,hour,9.0,0.015012303774238508
Toronto,hour,16.0,9.945734080480107e-05
Toronto,hour,17.0,-0.028842797757592742
Toronto,hour,23.0,-0.19914571949535853
Toronto,hour,11.0,0.016740578651194007
Toronto,hour,14.0,0.01806289719476888
Toronto,hour,14.0,0.046549172630608905
Toronto,hour,15.0,0.11066955468808773
Toronto,hour,20.0,-0.28563030752038227
Toronto,hour,21.0,-0.3439105203914435
Toronto,hour,3.0,0.4467795999900415
Toronto,hour,6.0,-0.06517185757587507
Toronto,hour,11.0,0.04979446869648582
Toronto,hour,16.0,0.039113470730118276
Toronto,hour,0.0,0.36423612276285033
Toronto,hour,8.0,-0.12305828084812487
Toronto,hour,9.0,0.04861240499959162
Toronto,hour,13.0,0.053711866154359494
Toronto,hour,15.0,0.06034633487750946
Toronto,hour,20.0,-0.34716967823597994
Toronto,hour,22.0,-0.35457308056673176
Toronto,hour,11.0,0.0880707494674414
Toronto,hour,11.0,0.07318558595344336
Toronto,hour,18.0,-0.15407984718120996
